model,protein
X-1095,5539
X-1095,5673
X-1095,9981
X-1095,14136
X-1095,7725
X-1095,10289
X-1095,2391
X-1095,15850
X-1095,8234
X-1095,6423
X-1095,16860
X-1095,3186
X-1095,13227
X-1095,15394
X-1095,13324
X-1095,16278
X-1095,6145
X-1095,1513
X-1095,13736
X-1095,16374
X-1095,7903
X-1095,15186
X-1095,8223
X-1095,14523
X-1095,15369
X-1095,8499
X-1095,3245
X-1095,12621
X-1095,3502
X-1095,8236
X-1095,10617
X-1095,16426
X-1095,11633
X-1095,7670
X-1095,12706
X-1095,4967
X-1095,8238
X-1095,3217
X-1095,9670
X-1095,9671
X-1095,4390
X-1095,15705
X-1095,809
X-1095,10219
X-1095,14603
X-1095,4444
X-1095,14604
X-1095,967
X-1095,11669
X-1095,853
X-1095,16564
X-1095,12294
X-1095,7497
X-1119,16086
X-1119,16086
X-1119,10234
X-1119,13661
X-1119,12526
X-1119,8233
X-1119,10350
X-1119,9492
X-1119,2280
X-1119,1233
X-1119,5219
X-1119,15960
X-1119,7273
X-1119,1568
X-1119,4804
X-1119,2242
X-1119,8555
X-1119,6308
X-1119,9337
X-1119,15810
X-1119,11921
X-1119,16327
X-1119,216
X-1119,15292
X-1119,12544
X-1119,16718
X-1119,12518
X-1119,14355
X-1119,8938
X-1119,10967
X-1119,5498
X-1119,16068
X-1119,1935
X-1119,864
X-1119,1338
X-1119,9938
X-1119,14694
X-1119,15042
X-1119,6335
X-1119,7163
X-1119,12914
X-1119,4076
X-1119,1049
X-1119,8693
X-1119,12193
X-1119,703
X-1119,7666
X-1119,7118
X-1119,5387
X-1119,15229
X-1119,1021
X-1119,2582
X-1119,9340
X-1119,4326
X-1119,15378
X-1119,3308
X-1119,11191
X-1119,16452
X-1119,848
X-1119,11693
X-1119,15080
X-1119,48
X-1119,12062
X-1119,12933
X-1119,12704
X-1119,13973
X-1119,11026
X-1119,10210
X-1119,4688
X-1119,15272
X-1119,1405
X-1119,16993
X-1119,7959
X-1119,13356
X-1119,13026
X-1119,11464
X-1119,12008
X-1119,9165
X-1119,150
X-1119,15853
X-1119,15737
X-1119,1675
X-1119,2420
X-1119,4887
X-1119,2139
X-1119,13270
X-1119,9676
X-1119,17103
X-1119,449
X-1119,16170
X-1119,15792
X-1119,15816
X-1119,16445
X-1119,12277
X-1119,16441
X-1119,6814
X-1119,13948
X-1119,1232
X-1119,8501
X-1119,6256
X-1119,13077
X-1119,4700
X-1119,2414
X-1119,9009
X-1119,8106
X-1119,8250
X-1119,3820
X-1119,14488
X-1119,10665
X-1119,10779
X-1119,9093
X-1119,12126
X-1119,12652
X-1119,16166
X-1119,15793
X-1119,625
X-1119,723
X-1119,8232
X-1119,16586
X-1119,12375
X-1119,16177
X-1119,16199
X-1119,15967
X-1119,14758
X-1119,8229
X-1119,15123
X-1119,13425
X-1119,14608
X-1119,12445
X-1119,2010
X-1119,14775
X-1119,16191
X-1119,8230
X-1119,14718
X-1119,5539
X-1119,5673
X-1119,17148
X-1119,9981
X-1119,14136
X-1119,10289
X-1119,2391
X-1119,15850
X-1119,8234
X-1119,6423
X-1119,16860
X-1119,3186
X-1119,13227
X-1119,15394
X-1119,13324
X-1119,16278
X-1119,6145
X-1119,1513
X-1119,13736
X-1119,16374
X-1119,7903
X-1119,15186
X-1119,8223
X-1119,14523
X-1119,15369
X-1119,8499
X-1119,9639
X-1119,3245
X-1119,16413
X-1119,12621
X-1119,3502
X-1119,8236
X-1119,10617
X-1119,16426
X-1119,11633
X-1119,7670
X-1119,12706
X-1119,4967
X-1119,8238
X-1119,9703
X-1119,3217
X-1119,9666
X-1119,9700
X-1119,9670
X-1119,9671
X-1119,4390
X-1119,16434
X-1119,17054
X-1119,3195
X-1119,10219
X-1119,7924
X-1119,11521
X-1119,4803
X-1119,9561
X-1119,2340
X-1119,4067
X-1119,4066
X-1119,15228
X-1119,473
X-1119,5080
X-1119,5202
X-1119,967
X-1119,11669
X-1119,853
X-1119,16564
X-1119,12294
X-1119,12654
X-1119,7497
X-1119,7856
X-1119,10771
X-1119,5110
X-1119,8751
X-1119,5516
X-1119,12615
X-1156,16086
X-1156,16086
X-1156,12526
X-1156,8233
X-1156,9762
X-1156,2280
X-1156,1233
X-1156,15960
X-1156,7273
X-1156,1568
X-1156,11662
X-1156,15667
X-1156,854
X-1156,8555
X-1156,6308
X-1156,4305
X-1156,15292
X-1156,16898
X-1156,12544
X-1156,10967
X-1156,756
X-1156,4495
X-1156,1935
X-1156,864
X-1156,1338
X-1156,6335
X-1156,13334
X-1156,12914
X-1156,8096
X-1156,7763
X-1156,12193
X-1156,7666
X-1156,12164
X-1156,7118
X-1156,5387
X-1156,1021
X-1156,15378
X-1156,11900
X-1156,3308
X-1156,11191
X-1156,848
X-1156,10125
X-1156,15080
X-1156,12408
X-1156,6953
X-1156,9587
X-1156,10210
X-1156,4688
X-1156,15272
X-1156,13026
X-1156,3137
X-1156,9143
X-1156,6448
X-1156,12633
X-1156,320
X-1156,15149
X-1156,13270
X-1156,686
X-1156,9676
X-1156,15792
X-1156,4467
X-1156,16081
X-1156,676
X-1156,4740
X-1156,14762
X-1156,13948
X-1156,15607
X-1156,6256
X-1156,4700
X-1156,13887
X-1156,4032
X-1156,8106
X-1156,16643
X-1156,15774
X-1156,10694
X-1156,14488
X-1156,10665
X-1156,9093
X-1156,12126
X-1156,12652
X-1156,5493
X-1156,16166
X-1156,15793
X-1156,625
X-1156,723
X-1156,8232
X-1156,16586
X-1156,12375
X-1156,16177
X-1156,16199
X-1156,15967
X-1156,14758
X-1156,8229
X-1156,15123
X-1156,13425
X-1156,14608
X-1156,2010
X-1156,14775
X-1156,16191
X-1156,3341
X-1156,14718
X-1156,5539
X-1156,9200
X-1156,5673
X-1156,9981
X-1156,14136
X-1156,10289
X-1156,2391
X-1156,15850
X-1156,8234
X-1156,6423
X-1156,16860
X-1156,3186
X-1156,13227
X-1156,15394
X-1156,13324
X-1156,16278
X-1156,6145
X-1156,1513
X-1156,13736
X-1156,16374
X-1156,7903
X-1156,15186
X-1156,8223
X-1156,14523
X-1156,15369
X-1156,9639
X-1156,3245
X-1156,16413
X-1156,12621
X-1156,3502
X-1156,8236
X-1156,10617
X-1156,16426
X-1156,11633
