model,protein
X-1027,296
X-1027,3452
X-1027,10465
X-1027,7517
X-1027,12277
X-1027,4467
X-1027,6231
X-1027,12569
X-1027,16441
X-1027,16081
X-1027,15057
X-1027,6814
X-1027,5806
X-1027,14753
X-1027,507
X-1027,4740
X-1027,13265
X-1027,15814
X-1027,13948
X-1027,10553
X-1027,15607
X-1027,1232
X-1027,6256
X-1027,13077
X-1027,11044
X-1027,14798
X-1027,4700
X-1027,5555
X-1027,1664
X-1027,2414
X-1027,4836
X-1027,11453
X-1027,2872
X-1027,10089
X-1027,2314
X-1027,17015
X-1027,4032
X-1027,8106
X-1027,614
X-1027,1693
X-1027,15774
X-1027,12353
X-1027,8250
X-1027,14018
X-1027,12865
X-1027,10694
X-1027,14488
X-1027,10665
X-1027,10779
X-1027,9093
X-1027,5383
X-1027,12126
X-1027,12652
X-1027,5493
X-1027,16166
X-1027,15793
X-1027,625
X-1027,723
X-1027,8232
X-1027,16586
X-1027,13574
X-1027,12375
X-1027,16177
X-1027,16199
X-1027,15967
X-1027,14758
X-1027,8229
X-1027,15123
X-1027,13425
X-1027,14608
X-1027,12445
X-1027,2010
X-1027,14775
X-1027,16191
X-1027,8230
X-1027,3341
X-1027,14718
X-1027,5539
X-1027,9200
X-1027,5673
X-1027,17148
X-1027,9981
X-1027,14136
X-1027,7725
X-1027,10289
X-1027,2391
X-1027,15850
X-1027,8234
X-1027,6423
X-1027,5557
X-1027,1068
X-1027,16860
X-1027,3186
X-1027,13227
X-1027,15394
X-1027,13324
X-1027,16278
X-1027,6145
X-1027,1513
X-1027,13736
X-1027,16374
X-1027,7903
X-1027,15186
X-1027,8223
X-1027,4438
X-1027,14523
X-1027,15369
X-1027,8499
X-1027,9639
X-1027,3245
X-1027,16413
X-1027,12621
X-1027,3502
X-1027,8236
X-1027,10617
X-1027,16426
X-1027,11633
X-1027,7670
X-1027,12706
X-1027,4967
X-1027,8238
X-1027,9703
X-1027,3217
X-1027,9666
X-1027,9700
X-1027,9671
X-1027,4390
X-1027,15859
X-1027,10682
X-1027,1420
X-1027,16306
X-1027,698
X-1027,13540
X-1027,16434
X-1027,9446
X-1027,3195
X-1027,16819
X-1027,7266
X-1027,809
X-1027,10219
X-1027,11267
X-1027,15894
X-1027,14461
X-1027,7949
X-1027,3161
X-1027,11876
X-1027,16605
X-1027,11521
X-1027,4803
X-1027,4306
X-1027,6060
X-1027,7422
X-1027,746
X-1027,9561
X-1027,2340
X-1027,4067
X-1027,15228
X-1027,3180
X-1027,13584
X-1027,2321
X-1027,7038
X-1027,3999
X-1027,967
X-1027,11669
X-1027,8724
X-1027,853
X-1027,16564
X-1027,15475
X-1027,12294
X-1027,12654
X-1027,7497
X-1027,11624
X-1027,7856
X-1027,10771
X-1027,5110
X-1027,8751
X-1027,237
X-1027,5516
X-1027,9892
X-1027,329
X-1027,10376
X-1027,2686
X-1027,12615
X-1095,15488
X-1095,16086
X-1095,16086
X-1095,1579
X-1095,444
X-1095,2225
X-1095,12526
X-1095,8233
X-1095,3788
X-1095,15535
X-1095,3120
X-1095,829
X-1095,7150
X-1095,7496
X-1095,15739
X-1095,12945
X-1095,2280
X-1095,1233
X-1095,12299
X-1095,12413
X-1095,5219
X-1095,15960
X-1095,13698
X-1095,1287
X-1095,7273
X-1095,11662
X-1095,15667
X-1095,8555
X-1095,6308
X-1095,1333
X-1095,13917
X-1095,4647
X-1095,4305
X-1095,1904
X-1095,12804
X-1095,5855
X-1095,15810
X-1095,2560
X-1095,11921
X-1095,63
X-1095,13214
X-1095,16327
X-1095,216
X-1095,15292
X-1095,12544
X-1095,13168
X-1095,12518
X-1095,14355
X-1095,8938
X-1095,10967
X-1095,1181
X-1095,9043
X-1095,16068
X-1095,6086
X-1095,1935
X-1095,864
